ESTACIO,CODI_CONTAMINANT,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,DATA
4,8,22.0,37.0,75.0,57.0,45.0,57.0,76.0,80.0,95.0,108.0,82.0,62.0,55.0,48.0,16.0,7.0,42.0,42.0,46.0,72.0,44.0,21.0,12.0,9.0,2019-04-02
4,8,6.0,9.0,7.0,5.0,7.0,10.0,20.0,31.0,47.0,38.0,28.0,36.0,33.0,32.0,27.0,24.0,39.0,37.0,31.0,31.0,27.0,28.0,38.0,40.0,2019-04-03
4,8,5.0,5.0,5.0,10.0,12.0,17.0,19.0,35.0,47.0,43.0,34.0,26.0,20.0,29.0,29.0,23.0,21.0,20.0,26.0,27.0,24.0,26.0,60.0,66.0,2019-04-04
4,8,67.0,57.0,66.0,55.0,53.0,55.0,63.0,71.0,72.0,75.0,87.0,76.0,57.0,23.0,20.0,23.0,24.0,32.0,29.0,26.0,18.0,18.0,15.0,16.0,2019-04-05
4,8,29.0,24.0,24.0,20.0,13.0,11.0,14.0,16.0,24.0,25.0,19.0,19.0,15.0,19.0,15.0,16.0,27.0,29.0,27.0,28.0,32.0,44.0,60.0,74.0,2019-04-06
4,8,77.0,56.0,30.0,15.0,14.0,9.0,11.0,16.0,12.0,12.0,12.0,11.0,11.0,10.0,12.0,11.0,15.0,18.0,22.0,35.0,47.0,45.0,57.0,70.0,2019-04-07
4,8,53.0,48.0,44.0,36.0,33.0,39.0,48.0,56.0,62.0,76.0,74.0,43.0,46.0,33.0,29.0,32.0,31.0,39.0,61.0,42.0,50.0,65.0,54.0,69.0,2019-04-08
4,8,58.0,63.0,50.0,51.0,39.0,41.0,57.0,71.0,68.0,64.0,21.0,23.0,17.0,13.0,18.0,14.0,24.0,15.0,35.0,65.0,81.0,62.0,63.0,63.0,2019-04-09
4,8,50.0,51.0,33.0,21.0,22.0,13.0,21.0,60.0,54.0,42.0,31.0,30.0,43.0,59.0,51.0,34.0,35.0,41.0,35.0,83.0,62.0,67.0,73.0,85.0,2019-04-10
4,8,78.0,67.0,57.0,50.0,26.0,19.0,24.0,40.0,43.0,40.0,33.0,27.0,23.0,19.0,21.0,29.0,25.0,27.0,23.0,28.0,26.0,34.0,33.0,38.0,2019-04-11
4,8,62.0,66.0,64.0,64.0,48.0,24.0,22.0,38.0,48.0,42.0,32.0,35.0,31.0,40.0,33.0,29.0,26.0,27.0,27.0,26.0,20.0,21.0,22.0,26.0,2019-04-12
4,8,25.0,22.0,28.0,59.0,50.0,41.0,42.0,49.0,46.0,39.0,26.0,25.0,20.0,15.0,25.0,19.0,23.0,19.0,21.0,24.0,55.0,45.0,46.0,35.0,2019-04-13
4,8,69.0,88.0,83.0,68.0,63.0,47.0,38.0,50.0,47.0,47.0,39.0,12.0,8.0,7.0,10.0,6.0,7.0,7.0,9.0,9.0,12.0,14.0,12.0,11.0,2019-04-14
4,8,21.0,43.0,45.0,53.0,37.0,49.0,66.0,76.0,45.0,42.0,15.0,14.0,16.0,15.0,12.0,11.0,10.0,11.0,14.0,14.0,19.0,15.0,11.0,11.0,2019-04-15
4,8,34.0,53.0,37.0,38.0,50.0,60.0,57.0,74.0,78.0,67.0,43.0,14.0,12.0,25.0,18.0,4.0,13.0,18.0,21.0,17.0,16.0,10.0,10.0,11.0,2019-04-16
4,8,9.0,9.0,15.0,49.0,37.0,40.0,49.0,48.0,54.0,53.0,27.0,19.0,14.0,11.0,9.0,11.0,10.0,14.0,12.0,13.0,15.0,15.0,10.0,8.0,2019-04-17
4,8,6.0,5.0,6.0,4.0,5.0,9.0,18.0,25.0,26.0,16.0,16.0,17.0,17.0,13.0,10.0,8.0,9.0,8.0,10.0,10.0,12.0,11.0,12.0,12.0,2019-04-18
4,8,10.0,15.0,19.0,16.0,5.0,11.0,8.0,8.0,8.0,11.0,19.0,15.0,8.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,13.0,19.0,10.0,25.0,2019-04-19
4,8,33.0,37.0,30.0,24.0,36.0,30.0,21.0,25.0,40.0,30.0,18.0,12.0,13.0,12.0,26.0,13.0,28.0,32.0,29.0,21.0,15.0,14.0,11.0,8.0,2019-04-20
4,8,9.0,7.0,7.0,9.0,10.0,12.0,15.0,7.0,7.0,13.0,16.0,9.0,6.0,8.0,7.0,6.0,6.0,6.0,7.0,9.0,14.0,12.0,11.0,10.0,2019-04-21
4,8,15.0,6.0,10.0,8.0,12.0,8.0,9.0,8.0,17.0,13.0,16.0,20.0,17.0,19.0,23.0,12.0,14.0,13.0,12.0,15.0,14.0,13.0,10.0,8.0,2019-04-22
4,8,8.0,16.0,25.0,27.0,26.0,38.0,61.0,71.0,75.0,78.0,71.0,64.0,33.0,44.0,33.0,30.0,29.0,35.0,34.0,55.0,48.0,45.0,34.0,36.0,2019-04-23
4,8,49.0,24.0,21.0,12.0,15.0,20.0,42.0,58.0,40.0,41.0,33.0,40.0,39.0,39.0,30.0,25.0,28.0,25.0,28.0,34.0,43.0,42.0,47.0,33.0,2019-04-24
4,8,35.0,25.0,24.0,26.0,20.0,25.0,21.0,44.0,56.0,45.0,38.0,41.0,50.0,39.0,26.0,27.0,29.0,46.0,45.0,45.0,34.0,65.0,40.0,25.0,2019-04-25
4,8,19.0,15.0,19.0,14.0,8.0,9.0,18.0,24.0,28.0,24.0,22.0,31.0,29.0,23.0,16.0,16.0,12.0,13.0,13.0,15.0,16.0,21.0,22.0,28.0,2019-04-26
4,8,50.0,75.0,71.0,71.0,65.0,53.0,38.0,52.0,45.0,35.0,23.0,22.0,22.0,21.0,22.0,18.0,17.0,19.0,16.0,20.0,27.0,25.0,23.0,19.0,2019-04-27
4,8,29.0,29.0,43.0,67.0,67.0,64.0,54.0,57.0,30.0,44.0,42.0,54.0,42.0,29.0,45.0,6.0,9.0,56.0,71.0,18.0,30.0,77.0,37.0,60.0,2019-04-28
4,8,9.0,5.0,6.0,6.0,8.0,12.0,25.0,43.0,66.0,66.0,73.0,68.0,57.0,31.0,22.0,18.0,18.0,27.0,45.0,38.0,41.0,42.0,32.0,30.0,2019-04-29
4,8,24.0,34.0,28.0,26.0,27.0,33.0,48.0,57.0,75.0,61.0,51.0,28.0,25.0,20.0,25.0,28.0,39.0,35.0,33.0,39.0,38.0,34.0,28.0,24.0,2019-04-30
4,10,19.0,20.0,27.0,33.0,30.0,32.0,33.0,67.0,80.0,125.0,81.0,75.0,71.0,72.0,12.0,44.0,14.0,75.0,105.0,116.0,51.0,30.0,18.0,19.0,2019-04-02
4,10,18.0,16.0,15.0,12.0,15.0,17.0,18.0,21.0,22.0,31.0,29.0,39.0,42.0,40.0,38.0,34.0,47.0,53.0,27.0,15.0,17.0,9.0,10.0,13.0,2019-04-03
4,10,8.0,3.0,5.0,4.0,4.0,1.0,2.0,14.0,15.0,21.0,22.0,25.0,17.0,25.0,26.0,16.0,15.0,36.0,43.0,23.0,20.0,17.0,16.0,20.0,2019-04-04
4,10,20.0,20.0,25.0,25.0,21.0,20.0,22.0,27.0,55.0,61.0,52.0,46.0,40.0,36.0,1.0,36.0,39.0,46.0,34.0,31.0,28.0,19.0,12.0,12.0,2019-04-05
4,10,8.0,8.0,6.0,5.0,2.0,1.0,2.0,2.0,4.0,6.0,8.0,10.0,10.0,10.0,8.0,6.0,11.0,14.0,15.0,16.0,14.0,17.0,17.0,19.0,2019-04-06
